기준일자,노선명,승차_정류장ARS,승차_정류장명,하차_정류장ARS,하차_정류장명,승차_정류장순번,하차_정류장순번,승객수,ARS_ID_x,X좌표_x,Y좌표_x,ARS_ID_y,X좌표_y,Y좌표_y,승차_정류장_X좌표_x,승차_정류장_Y좌표_x,하차_정류장_X좌표_x,하차_정류장_Y좌표_x,승차_정류장_X좌표_y,승차_정류장_Y좌표_y,하차_정류장_X좌표_y,하차_정류장_Y좌표_y,승차_정류장_X좌표,승차_정류장_Y좌표,하차_정류장_X좌표,하차_정류장_Y좌표,거리
20230521,2222,5226,광진광장,5226,광진광장,46.0,46.0,2,5226,127.0715209,37.54771517,5226,127.0715209,37.54771517,127.0715209,37.54771517,127.0715209,37.54771517,127.0715209,37.54771517,127.0715209,37.54771517,127.0715209,37.54771517,127.0715209,37.54771517,0.0
20230521,302,5226,광진광장,5226,광진광장,77.0,77.0,2,5226,127.0715209,37.54771517,5226,127.0715209,37.54771517,127.0715209,37.54771517,127.0715209,37.54771517,127.0715209,37.54771517,127.0715209,37.54771517,127.0715209,37.54771517,127.0715209,37.54771517,0.0
20230521,3216,5175,광진구청,5175,광진구청,74.0,74.0,1,5175,127.0831531,37.53848833,5175,127.0831531,37.53848833,127.0831531,37.53848833,127.0831531,37.53848833,127.0831531,37.53848833,127.0831531,37.53848833,127.0831531,37.53848833,127.0831531,37.53848833,0.0
20230521,320,5175,광진구청,5175,광진구청,77.0,77.0,4,5175,127.0831531,37.53848833,5175,127.0831531,37.53848833,127.0831531,37.53848833,127.0831531,37.53848833,127.0831531,37.53848833,127.0831531,37.53848833,127.0831531,37.53848833,127.0831531,37.53848833,0.0
20230521,303,5175,광진구청,5175,광진구청,72.0,72.0,9,5175,127.0831531,37.53848833,5175,127.0831531,37.53848833,127.0831531,37.53848833,127.0831531,37.53848833,127.0831531,37.53848833,127.0831531,37.53848833,127.0831531,37.53848833,127.0831531,37.53848833,0.0
20230521,2311,5175,광진구청,5175,광진구청,42.0,42.0,2,5175,127.0831531,37.53848833,5175,127.0831531,37.53848833,127.0831531,37.53848833,127.0831531,37.53848833,127.0831531,37.53848833,127.0831531,37.53848833,127.0831531,37.53848833,127.0831531,37.53848833,0.0
20230521,303,6008,신설동역.서울풍물시장,6008,신설동역.서울풍물시장,54.0,54.0,1,6008,127.0257177,37.57442791,6008,127.0257177,37.57442791,127.0257177,37.57442791,127.0257177,37.57442791,127.0257177,37.57442791,127.0257177,37.57442791,127.0257177,37.57442791,127.0257177,37.57442791,0.0
20230521,370,6008,신설동역.서울풍물시장,6008,신설동역.서울풍물시장,35.0,35.0,5,6008,127.0257177,37.57442791,6008,127.0257177,37.57442791,127.0257177,37.57442791,127.0257177,37.57442791,127.0257177,37.57442791,127.0257177,37.57442791,127.0257177,37.57442791,127.0257177,37.57442791,0.0
20230521,721,6008,신설동역.서울풍물시장,6008,신설동역.서울풍물시장,61.0,61.0,10,6008,127.0257177,37.57442791,6008,127.0257177,37.57442791,127.0257177,37.57442791,127.0257177,37.57442791,127.0257177,37.57442791,127.0257177,37.57442791,127.0257177,37.57442791,127.0257177,37.57442791,0.0
20230521,2221,6217,청량리역6번출구,6217,청량리역6번출구,34.0,34.0,1,6217,127.0436582,37.57794554,6217,127.0436582,37.57794554,127.0436582,37.57794554,127.0436582,37.57794554,127.0436582,37.57794554,127.0436582,37.57794554,127.0436582,37.57794554,127.0436582,37.57794554,0.0
20230521,2233,6217,청량리역6번출구,6217,청량리역6번출구,86.0,86.0,1,6217,127.0436582,37.57794554,6217,127.0436582,37.57794554,127.0436582,37.57794554,127.0436582,37.57794554,127.0436582,37.57794554,127.0436582,37.57794554,127.0436582,37.57794554,127.0436582,37.57794554,0.0
20230521,262,6217,청량리역6번출구,6217,청량리역6번출구,100.0,100.0,1,6217,127.0436582,37.57794554,6217,127.0436582,37.57794554,127.0436582,37.57794554,127.0436582,37.57794554,127.0436582,37.57794554,127.0436582,37.57794554,127.0436582,37.57794554,127.0436582,37.57794554,0.0
20230521,2221,6192,전농우체국앞,6192,전농우체국앞,39.0,39.0,1,6192,127.057575,37.576367,6192,127.057575,37.576367,127.057575,37.576367,127.057575,37.576367,127.057575,37.576367,127.057575,37.576367,127.057575,37.576367,127.057575,37.576367,0.0
20230521,3216,6192,전농우체국앞,6192,전농우체국앞,59.0,59.0,1,6192,127.057575,37.576367,6192,127.057575,37.576367,127.057575,37.576367,127.057575,37.576367,127.057575,37.576367,127.057575,37.576367,127.057575,37.576367,127.057575,37.576367,0.0
20230521,3220,6192,전농우체국앞,6192,전농우체국앞,52.0,52.0,1,6192,127.057575,37.576367,6192,127.057575,37.576367,127.057575,37.576367,127.057575,37.576367,127.057575,37.576367,127.057575,37.576367,127.057575,37.576367,127.057575,37.576367,0.0
20230521,2221,5151,구의2동주민센터입구,5151,구의2동주민센터입구,50.0,50.0,2,5151,127.0897847,37.54925157,5151,127.0897847,37.54925157,127.0897847,37.54925157,127.0897847,37.54925157,127.0897847,37.54925157,127.0897847,37.54925157,127.0897847,37.54925157,127.0897847,37.54925157,0.0
20230521,303,5151,구의2동주민센터입구,5151,구의2동주민센터입구,69.0,69.0,3,5151,127.0897847,37.54925157,5151,127.0897847,37.54925157,127.0897847,37.54925157,127.0897847,37.54925157,127.0897847,37.54925157,127.0897847,37.54925157,127.0897847,37.54925157,127.0897847,37.54925157,0.0
20230521,320,5151,구의2동주민센터입구,5151,구의2동주민센터입구,74.0,74.0,3,5151,127.0897847,37.54925157,5151,127.0897847,37.54925157,127.0897847,37.54925157,127.0897847,37.54925157,127.0897847,37.54925157,127.0897847,37.54925157,127.0897847,37.54925157,127.0897847,37.54925157,0.0
20230521,2221,5153,구의사거리,5153,구의사거리,51.0,51.0,1,5153,127.085747,37.54565109,5153,127.085747,37.54565109,127.085747,37.54565109,127.085747,37.54565109,127.085747,37.54565109,127.085747,37.54565109,127.085747,37.54565109,127.085747,37.54565109,0.0
20230521,광진03,5153,구의사거리,5153,구의사거리,15.0,15.0,1,5153,127.085747,37.54565109,5153,127.085747,37.54565109,127.085747,37.54565109,127.085747,37.54565109,127.085747,37.54565109,127.085747,37.54565109,127.085747,37.54565109,127.085747,37.54565109,0.0
20230521,광진04,5153,구의사거리,5153,구의사거리,16.0,16.0,1,5153,127.085747,37.54565109,5153,127.085747,37.54565109,127.085747,37.54565109,127.085747,37.54565109,127.085747,37.54565109,127.085747,37.54565109,127.085747,37.54565109,127.085747,37.54565109,0.0
20230521,2221,5145,광진경찰서,5145,광진경찰서,52.0,52.0,1,5145,127.0836883,37.54153366,5145,127.0836883,37.54153366,127.0836883,37.54153366,127.0836883,37.54153366,127.0836883,37.54153366,127.0836883,37.54153366,127.0836883,37.54153366,127.0836883,37.54153366,0.0
20230521,2311,5145,광진경찰서,5145,광진경찰서,41.0,41.0,2,5145,127.0836883,37.54153366,5145,127.0836883,37.54153366,127.0836883,37.54153366,127.0836883,37.54153366,127.0836883,37.54153366,127.0836883,37.54153366,127.0836883,37.54153366,127.0836883,37.54153366,0.0
20230521,303,5145,광진경찰서,5145,광진경찰서,71.0,71.0,4,5145,127.0836883,37.54153366,5145,127.0836883,37.54153366,127.0836883,37.54153366,127.0836883,37.54153366,127.0836883,37.54153366,127.0836883,37.54153366,127.0836883,37.54153366,127.0836883,37.54153366,0.0
